source_story_id,source_file,description,text,label,generator
s2022,2022_New_Home.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: New Home. Motifs or anchor words: gavin, doll, wife, realtor, slightly, wasn, know, phone.","As I stood in the doorway of our new home, Gavin's eyes darted around the dimly lit foyer, the scent of stale air and forgotten dreams clinging to the walls. My wife, Emily, whispered her approval, her voice barely audible over the creaking of the old wooden floorboards. The realtor, a woman with a saccharine smile, hovered nearby, her eyes fixed on the certificate of ownership still clutched in my hand.

Slightly, I felt a presence behind me. I spun around, but there was no one. The doll on the nearby shelf, its porcelain face frozen in a perpetual smile, seemed to be watching us, its glassy eyes glinting in the faint light.

I wanted to know why the realtor had been so insistent on showing us this house. Why had she ignored our objections to the creaking stairs and the musty smell? Emily's hand tightened around mine, her fingers cold and clammy.

The phone on the wall, its cord tangled and knotted, seemed to hum with a soft, mournful vibration. I felt a shiver run down my spine as I wondered if it was ringing, or just my imagination playing tricks on me.

""Is everything all right?"" Emily whispered, her voice trembling.

I hesitated, unsure of what to say. The house seemed to be listening, its walls closing in around us like a slow, suffocating embrace. I knew then that we should have stayed in the city, that this place was a mistake. But it was too late. We were trapped, and the house had already begun to whisper its secrets in our ears.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s0336,0336_Im_Not_the_Only_Me.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: Im Not the Only Me. Motifs or anchor words: wish, twin, college, madeline, life, high, maybe, kids.","I lay in bed, my twin's whispered name a mantra in my mind: Madeline. Maybe it was the wish I'd made, on a night just like this, that had brought her to me. The college dorm room seemed to vibrate with an otherworldly energy, as if the very air was charged with the weight of a thousand unspoken wishes.

I felt her presence, a creeping sense of unease that spread like a stain. It started in my toes, seeping up my legs, and finally lodged itself in my chest, making it hard to breathe. I tried to shake it off, telling myself it was just a weird dream, but the feeling lingered, refusing to dissipate.

High above, the moon hung low, a silver crescent mocking me. Life was a cruel joke, and I was trapped in its orbit. I wished I could escape, wished I could outrun the feeling of being watched. But it only seemed to grow stronger, until I could feel Madeline's eyes on me, boring into my skin.

And then, I heard the whisper. Soft, raspy, and unmistakable. ""I'm not the only me.""",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s2095,2095_How_It_Began.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: How It Began. Motifs or anchor words: julia, sister, knife, slowly, mary, mouth, butter, stood.","As Julia's eyes adjusted to the dimly lit room, she saw her sister Mary standing by the kitchen table, her mouth frozen in a silent scream. The air was thick with the scent of butter, and Julia's stomach churned with a growing sense of unease. She tried to take a step forward, but her legs felt heavy, as if rooted to the spot.

Mary's eyes, black as coal, slowly focused on Julia, and her gaze sent a shiver down her spine. Julia's hand instinctively reached for the knife lying on the counter, but her fingers brushed against the cool metal as if it were a lifeline.

Julia's gaze drifted to the table, where a pat of butter lay melting, its creamy surface rippling like a tiny, golden sea. She felt an inexplicable urge to reach out and touch it, but Mary's eyes seemed to be warning her away.

Slowly, Julia's heart beat began to pound in her chest, like a drumbeat in the darkness. She stood frozen, her hand still grasping the knife, as Mary's mouth opened and closed, as if trying to speak a terrible truth. And in that moment, Julia knew she was trapped in a nightmare from which she might never awaken.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s0778,0778_Father_Cooke_Part_3_A_Holly_Jolly_Christmas.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: Father Cooke Part 3 A Holly Jolly Christmas. Motifs or anchor words: holidays, christmas, agree, enjoying, away, plug, lights, pour.","Father Cooke's eyes sparkled with an unsettling glee as he hung the last ornament on the tree. The lights flickered, casting an eerie glow over the room. His daughter, Emily, shivered despite the warmth of the crackling fire. She couldn't explain why, but she didn't enjoy the way her father's agreeable hum filled the air, like a mantra of madness.

As the family sat down to dinner, the room seemed to press in around them. The festive decorations, once cheerful, now seemed to loom, casting long, ominous shadows. Father Cooke's laughter grew louder, more manic, as he poured glass after glass of eggnog, insisting everyone join him in a toast. The candles on the table danced, their flames casting a hypnotic glow.

But when Emily excused herself to use the bathroom, she noticed something peculiar. The plug on the Christmas lights was loose, and the wires seemed to be twisted, like a snare. A shiver coursed down her spine as she realized she was alone in the house, away from her family's merriment. The lights flickered once more, and the room seemed to darken, the shadows deepening into something alive.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s0474,0474_No_Contest.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: No Contest. Motifs or anchor words: jack, swamp, muck, slime, throat, shoves, finally, worst.","The jack pine trees creaked in the wind, their branches like skeletal fingers grasping for the sky. I trudged through the muck, my boots heavy with the weight of every step. The air reeked of decay and slime, seeping into my pores like a living entity.

As I pushed deeper into the swamp, the silence grew thicker, a palpable thing that clung to my skin like a damp shroud. My throat constricted, as if something was squeezing tight, warning me to turn back. But I couldn't. I had to see it, had to know.

Finally, the trees parted, and I stumbled into a clearing. In the center, a figure stood, its face a twisted mass of mud and vines. The eyes, black as coal, seemed to bore into my very soul. It raised a hand, and I felt an unseen force shove me forward, as if propelling me toward the worst.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s2260,2260_Primal.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: Primal. Motifs or anchor words: naked, body, familiar, deeply, primal, cold, eyes, place.","In the darkness, I felt the walls closing in, a primal scream building in my chest. I had to get out, had to find my way back to the light. But my legs wouldn't move, as if rooted to the spot. I was naked, exposed, my body trembling with a fear that was deeply ingrained.

I tried to call out, but my voice was frozen in my throat. The air was thick with the scent of damp earth and decay. I strained my eyes to pierce the blackness, to find a glimmer of familiarity. But there was only the crushing weight of the void, the sensation of being a small, insignificant thing in an infinite expanse.

My skin was cold, my heart racing with a primal terror that threatened to consume me. I was aware of the place, the space around me, as if it were alive, pulsing with a malevolent energy. And then, the eyes. I felt their presence, boring into my soul, a chill that seeped into my very marrow. I was trapped, suspended in a living nightmare, with no escape, no reprieve.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s2136,2136_Eli_Foster.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: Eli Foster. Motifs or anchor words: asked, happened, hurt, sara, come, coat, gone, afterwards.","Eli Foster's voice trembled as he asked, ""What happened to Sara?"" The words echoed through the empty hallway, bouncing off the walls like a muffled scream. The coat rack seemed to loom over him, its rusty hinges squeaking in response.

He took a step forward, his eyes scanning the darkness. The air was heavy with the scent of decay, and he could almost taste the bitter tang of fear.

""Hurt,"" he whispered, the word barely audible. ""She hurt.""

A faint rustling grew louder, like the soft unwrapping of a shroud. Eli's heart thudded in his chest as he edged closer to the source. The sound grew louder, more deliberate, as if something was deliberately moving towards him.

""Come,"" it whispered, the voice a mere whisper on the wind. ""Afterwards, I'll be waiting.""

Eli spun around, desperate to escape the darkness. But his feet felt rooted to the spot, refusing to budge. The rustling grew louder, the whispers more urgent, until it seemed to coalesce into a presence just behind him.

And then, everything was silent.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s0575,0575_The_Psychopath.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: The Psychopath. Motifs or anchor words: mena, wall, hand, couldn, ball, hold, lunged, forward.","The mena of my fingers trembled against the wall as I clutched the edge, trying to hold myself back from the abyss. My hand was slick with sweat, refusing to relinquish its grip. The air was heavy with the stench of decay, and I couldn't shake the feeling that something was lunged forward, waiting to pounce.

I couldn't help but glance around, my eyes darting from one dark corner to the next. Every creak of the old wooden floorboards made me jump, as if the very house itself was trying to alert me to some unseen danger. The ball of my hand throbbed with pain as I tightened my grip on the wall, the rough texture digging into my skin.

And then, I saw it. A shape, looming just beyond the edge of my vision. I lunged forward, my heart racing with a primal fear, but my legs seemed rooted to the spot. The darkness seemed to coalesce into a presence, its presence making the air feel thicker, more oppressive. I couldn't hold back any longer, and I let go of the wall, stumbling backward as I tried to get away from the thing that was drawing near.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s0323,0323_John.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: John. Motifs or anchor words: maybe, back, cabin, night, heart, moving, outside, smokehouse.","As I step out of the cabin, the night air clutches at my heart like a cold hand. Maybe it's the fire burning in the smokehouse, casting flickering shadows on the trees, that's making the darkness feel so alive. I try to shake off the feeling, telling myself it's just my imagination playing tricks on me. But the trees seem to loom closer, their branches creaking in the wind like skeletal fingers. Outside, the darkness is moving, as if it's got a life of its own. I spin around, trying to get my bearings, but the woods seem to shift and swirl around me like a living thing. The smokehouse's flames cast a macabre glow on the trees, making them appear twisted and gnarled, like grasping fingers reaching for me. I force myself to take a step forward, and then another, my heart pounding in my chest. Maybe it's just my imagination, but I could swear the trees are moving closer, the shadows deepening, the darkness pulsing with a malevolent life.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s2766,2766_The_Rattling_Coin.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: The Rattling Coin. Motifs or anchor words: commuter, beggar, journey, boss, mind, station, encounter, friday.","The commuter's train rumbled into the station, belching diesel fumes that clung to the already-tainted air. Friday evening, the worst time of all. The beggar on the platform, usually a fixture, was nowhere to be seen. Or was he? The familiar rustle of his tattered coat, the scent of decay, seemed to linger, making the hairs on the back of my neck twitch.

I checked my watch, my boss's voice echoing in my mind: ""You're running late, again."" I pushed through the doors, my eyes scanning the platform, searching for that peculiar beggar. Suddenly, a coin dropped from my pocket, clattering on the ground. I bent to retrieve it, my fingers closing around the cold metal. The beggar's eyes, vacant and unseeing, seemed to bore into mine. I stood, the coin still clutched in my hand, and felt the air grow thick with the weight of our encounter.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
