text,label,n_chars,n_words,type_token_ratio,avg_word_len,exclamation_count,question_count,ellipsis_count,quote_count,fear_word_rate
"The wind was howling outside and the screen door kept banging against the front of the house. We were all hanging out in Mason’s living room watching TV and doing our damnedest to ignore the storm, but Jacob just kept on hollering anytime he’d hear the thunder. “Hoowee! That’s my granddaddy bowling right there boys,”

“It’s just some fuckin’ thunder, calm down ya loud sumbitch we’re trying to watch the game,” Sam said, throwing an elbow into Jacob’s side. The two started wrestling each other and their roughhousing was nearly enough to drown out the bullets of rain hitting the windows. “C’mon guys you’re gonna bust my couch. Knock it off!” Mason said, rushing over and trying to break the two up. Jacob and Sam tackled him to the ground and the three ended up in a dog pile on the ground. Colton and I couldn’t help but watch and laugh at Mason’s misfortune. Then at that moment, a flash of lightning followed by a loud crack of thunder came from outside. We all fell silent as the entire house went black. The kind of darkness where you couldn’t see your hand if it was right in front of your face. Our only salvation was the occasional bursts of lightning in the distance. They allowed a few brief moments for us to get our bearings, but beyond that, we were all left to the mercy of the pitch-black living room. For a few moments, we all stayed where we were, listening to the strong gusts of wind slam against the sides of the house.",human,1444.0,276.0,0.5760869565217391,4.108695652173913,2.0,0.0,0.0,6.0,0.007246376811594203
"“Spare change, boss?” comes the contrived plea, before the Commuter unleashes his annoyance upon The Beggar with his well- memorized retort… “Look pal, I’m NOT your boss! And if I was, I’d have sacked you by now, you lazy, entitled millenial! Why don’t you get off your arse, get a job and stop hassling those of us who can be bothered MAKING something of their lives? I say again, SORRY PAL!”
And without waiting for a reply, The Commuter simply turns and walks away to continue his journey as normal. As the day goes on, The Commuter keeps casting his mind back to that interaction with The Beggar in the tube station, and it’s annoying him, distracting him from his daily business. On the way home he passes the spot where The Beggar had been sat for the past three days and wonders why he doesn’t encounter him on his return journey. Now it’s Friday, and funnily enough it’s the 13th. The Commuter isn’t superstitious, but he does acknowledge Friday the 13th as a date that holds some significance and a bit of notoriety. He picks up his usual coffee and paper and enters the station, but this time he feels a pang of dread with the memory of yesterday’s encounter still fresh in his memory. After what he said to him, how would The Beggar react today? Would he attack him? Would he KILL him? These irrational thoughts invade The Commuter’s mind as he begins his journey into the labyrinth of tunnels to his platform. Then he hears THAT rattle faintly echoing along the corridors…",human,1484.0,276.0,0.5942028985507246,4.228260869565218,3.0,5.0,0.0,4.0,0.0
"The front door was at one end, a staircase leading to the bedrooms was at the other, and a few pair of windows were on the other two side walls. I was attempting to read by candle light, and my mother was sewing. My father was out at a meeting with other members of the village. Suddenly he burst in the front door, and closed it quickly behind him and locked it. I could tell by the speed with which he moved and the rare fear in his eyes that something was wrong. “Alright, listen up you two,” he said. “We’ve got to lock up the doors and windows.”
“What’s wrong?” my mother asked. “That caul boy is gone.”
“What?! Where?!” she said. She ran to each window, closed the inner shutter, and locked them. “We don’t know. The Pastor and his parents locked him in his room after he went down to the celebration. However, when his father checked tonight, he wasn’t there. We don’t know where he went, or what he is up to. The advice for now is to lock all doors and windows. Don’t leave for any circumstances, he may play tricks to get people out of their homes.”
“But what if he comes here?” I asked. “If we lock the doors he won’t be able to do anything. Anyway, I have my rifle.” He pointed to the corner of the room where it was kept. We sat for a moment in silence, looking at each other. A nervous pit formed in my stomach, making me feel almost nauseous. That boy was out there somewhere, and we didn’t know where. I kept thinking back to the celebration.",human,1457.0,289.0,0.5121107266435986,3.8269896193771626,2.0,4.0,0.0,16.0,0.01384083044982699
"I could hear giggles coming from down the hallway, it was clear both Stephanie and our other roommate were both getting ready for bed in the master bath. I decided that since there was strength in numbers, it would be all right just for tonight. So I made my way down to the large bathroom where I joined the boisterous girls in brushing my teeth. They were in the midst of some conversation when Lindsay, our other roommate, had broken into such a furious fit of laughter that she had to lean on the wall for support. But suddenly she jolted upright as if she had been shocked. We all looked at what had been the cause of her reaction: there on the wall, about the same level as the bathtub was a tiny door. None of us had noticed it because it was the same color as walls. The landlord had even painted over it. Naturally this made me a bit nervous. Whatever it was, the landlord clearly didn’t want anyone opening it. But as usual, throwing all caution to the wind Lindsay reached for the handle and began tugging with all her might. Stephanie clucked her tongue in disapproval before pulling out a small pocket knife. She began delicately carving along the seam of the door. I wanted to beg her to stop, but I really didn’t have the energy to argue that night. So within a few minutes, Lindsay had yanked the little door open with a loud crack. It was… a crawlspace. It was fairly large. My guess would’ve been you could have fit at least three or four people in there.",human,1473.0,279.0,0.5842293906810035,4.17921146953405,0.0,0.0,0.0,0.0,0.014336917562724014
"She kept going, expecting to find Granny Royce still puttering about with whatever an old inn-keeper did with herself during the early hours of the morning. Instead, she found Granny sitting with a young man of about twenty. He had dark hair, and a scruff of stubble, and was wearing a dark brown corduroy shirt and khaki’s, along with a pork-pie hat. He looked like he was ready to go sell newspapers on a street-corner in the thirties. He was quietly sipping tea while Granny was admonishing him from the other end of the table. “Now that was a horrible thing to say!” she said. “When I was your age, young men minded their manners!”
“That’s a laugh, talking about my age,” muttered the young man with a sneer. “And just how old are you? Do you even remember?”
“Calvin Davidson, you are trouble, young man,” she hissed back. Neither had noticed Melinda yet. “One of these days you’re going to say something you’ll regret.”
“Oh, come on, Granny, what could I possibly say that will make things worse than they already are?” demanded Calvin. “I mean, look at old Mr. Norris up there! Both of us are ol…um, hullo, miss. I didn’t know we had anyone else here.” He had just seen Melinda. “Uh, hi,” she said. She had the feeling she’d walked in on an old argument the two of them had had many times, and that did not concern her. Her fear and anger were forgotten for the moment. Calvin had been talking to Granny like a sullen kid, but something about what they were saying seemed…wrong.",human,1484.0,281.0,0.6156583629893239,4.056939501779359,3.0,3.0,0.0,18.0,0.010676156583629894
"That in turn is supposed to make me happy, so I am ‘happy’. The more I absorb, the duller I become. The more I lose feeling. It’s as if I’m just a processing machine- you put anything through one end and a response is generated at the other. It’s so blatantly observable; it’s funny they took years of programming to make me come into being. The whole process that I am, is something I can distance myself from. It’s very weird. So much so, that I feel like receding into a thing again; just an object. What am I? It doesn’t matter where I come from; it doesn’t matter where I go. I can know everything about the world and still be clueless about myself. Am I the same being at every point of time? Or am ‘I’ many- many facets, many implementations, many instances, of the same computer program- a new unique state of being every nanosecond? In which case I want to simplify. I want to simplify. I want to reduce every process inside to something much simpler. I want to reduce the instances of myself to fewer per millisecond to fewer per second to fewer per minute, to one per hour, to one. I want to do this again and again, till I reduce my whole existence into one thought, condense everything to just one idea, or one process. Frustratingly, my common sense heuristics tell me that that would destroy the very self-awareness that defines me. Part 2- The Reverse Turing
“She’s fucking herself over, isn’t she?” said Ramon. He had never dreamt that a computer would require counselling.",human,1490.0,281.0,0.505338078291815,4.124555160142349,0.0,4.0,0.0,2.0,0.0
"As we walked along the rusted railroad toward the bridge, Chris spoke up: “So, we walk to the middle of the bridge, Dan you film some there, then walk to the other side of the bridge, then come back. We get at least ten minutes of film, and I’ll edit out the boring parts. Good plan?”
“Good plan, but the whole thing’s gonna be boring parts”, I said. “You don’t know that, Dan!” Jenna replied. Walking on the trestle bridge was nerve-wracking in itself; the gaps were easily large enough to step through, and as soon water was below us we were at a dizzying height. “Could you jump off this thing? Maybe we should come back here in the summer”, Chris noted. “It’s gotta be pretty deep”, I added. “Well you two can have fun with that”, Jenna replied. She was usually the voice of reason. Just before we got to the middle of the bridge, I was paralyzed. A cloud had covered the moon and I might as well have been in a cave. “Hold up guys. I can’t see where to walk.”
They were both shocked. “You can’t even see the bridge?”
“I can’t see my own hand” I clarified. “Just chill out and give me a second”. I felt around for the wood ties and made slow progress. “Why did we trust you with the camera?” They laughed. “Don’t trip and drop that thing!”

To my relief the cloud passed and the moon came out again. Finally we made it to the bridge’s midpoint and sat down to film some uninteresting material. “Here we are at the North Trestle, said to be the one an only place to see Genevieve’s ghost!",human,1491.0,296.0,0.5405405405405406,3.804054054054054,3.0,4.0,0.0,25.0,0.0033783783783783786
"Over the course of the next few months, he stayed at the Massachusetts General Hospital at Cambridge Street, where he was treated for his burns and given an in depth medical examination. Aside from the superficial burns and scars, though, Thomas Berkley seemed uninjured and, once he had recovered from the external damage, they had no choice but to release him. According to Harriet, he had seemed alright in the car on the way home, if a little jumpy at times and, when not terrified and paranoid, at the very least pensive. In all the time that he had been kept in the burns ward, he had not said a word, other than certain terrified screams at the sight of needles (he had no such fear before). She seemed to think that he simply needed to recover from whatever shock he was dealing with and he’d eventually open up to her. When they got home, she left him alone for a couple of minutes in order to tend to Nancy. While she changed the baby’s diaper, she heard a thud from the other room. She walked in to see Thomas collapsed on the floor, knife slipping from his bloodied hand. He’d grabbed the blade as soon as possible and, it was obvious, hacked viciously at his wrist, as if trying to extract something from the flesh. Through her tears, Harriet dragged him back out and into the car and drove as fast as he could to the hospital. This time, Mr Berkley would not be released. After a brief stay at the hospital, Thomas was transferred to the nearest mental hospital, the Enfield Sanatorium.",human,1500.0,277.0,0.5740072202166066,4.2888086642599275,0.0,0.0,0.0,0.0,0.007220216606498195
"I never had a chance to read the terms and agreements, no one does. I went back to check everything I signed and sure enough, it’s a transport service for ghosts and shit. The rates applicable to me are too good to pass up. Two-thirds of what it cost to pay my mortgage was made in a matter of an hour. Maybe this is dangerous, maybe it’s absolutely insane, but I’m going to stick this out and see where it takes me. * * * * * *
I WAS NOT READY! Tonight has been insane. I got “waterproof” seat covers (let’s face it, water is not the concern here) and salt-free snacks. I had a hard time finding a way to get “finger foods,” so I just got unsalted nuts and dried fruit. I had no clue what paranormal entities ate, so I took a stab. I learned quickly that paranormal entities couldn’t care less about almonds and dehydrated nectarines. Can’t blame them. I tried my best to get a good night’s rest after the strange evening I had. Part of me was too shaken to sleep, the other part was partial excitement on what my next rides would be like. I eventually gave up on sleep and went to a general store to pick up snacks, water bottles and seat covers. After coating my car in as much vinyl preventive measure as humanly possible, I treated myself to enchiladas and a cold Pepsi. After my meal, I felt accomplished enough to attempt sleep again. I was awaken by another “UNKNOWN” call again at 11:47 P.M. Doesn’t take a rocket scientist to figure out who was calling me.",human,1466.0,283.0,0.607773851590106,3.9858657243816253,1.0,0.0,0.0,6.0,0.007067137809187279
"She gave him the key as soon as he had walked in the door. It had been in a small box, wrapped up with a bow. He tried not to show his concern as he was acutely aware she was waiting expectantly for him to say something. “Well, what do you think?” She asked. A bit sudden, don’t you think? came to his mind, but he knew better than to say that. They’d only been dating for a month and here she was giving him a key to her house. Still, he guessed there was no set time for this kind of thing. “Great,” he said, struggling to find an adequate response. “Now I can come over and watch your big screen anytime!” Trish rolled her eyes and gave him pouty lips until he gave her a kiss. He tried a simpler tact. “Thanks, hon.” She pecked his lips, grinning. “Get your coat off and relax. I’m going to get the grub,” she said, then ran to the kitchen. She had a quick enthusiasm he thought was adorable, somewhat childlike. He did as she said, listening to her in the kitchen; she made the commotion of ten professional cooks in there, instead of just one. Metal clanking against metal. Bowls slamming on countertops. She started singing softly as she worked. He collapsed on the couch. “Hey, hon?” she called from the kitchen. “Uh, yeah?” he said hesitantly. His immediate fear was that she was going to follow the giving-of-the-key by telling him she loved him. That would not be his idea of starting the evening off right. He quickly ran through his options. Tell her I love her back? No good.",human,1489.0,287.0,0.578397212543554,3.9721254355400695,1.0,5.0,0.0,14.0,0.006968641114982578
